prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group
19182	852111000001108	55394020	Atenolol 50mg tablets (IVAX Pharmaceuticals UK Ltd)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
19191	857511000001101	53707020	Atenolol 100mg tablets (Teva UK Ltd)	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
19192	118425001000027104	63601020	Furosemide 40mg Tablet (M & A Pharmachem Ltd)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
19193	481211000001106	64070020	Doxazosin 2mg tablets (Teva UK Ltd)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
19194	17211000001105	53340020	Furosemide 20mg tablets (Teva UK Ltd)	Furosemide	20mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
19195	60755001000027104	55626020	Spironolactone 50mg Tablet (Wyeth Pharmaceuticals)	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
19200	433811000001104	63135020	Bisoprolol 5mg tablets (IVAX Pharmaceuticals UK Ltd)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
19202	7333911000001104	67720020	Carvedilol 6.25mg tablets (Teva UK Ltd)	Carvedilol	6.25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
19216	525011000001104	64260020	Doxazosin 4mg tablets (IVAX Pharmaceuticals UK Ltd)	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040000	Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders	Alpha blocker
19352	176195001000027104	71715020	Xuret 0.5mg Tablet (Galen Ltd)	Metolazone	0.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
19437	709911000001107	72242020	Eucardic 25mg tablets (Roche Products Ltd)	Carvedilol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
19611	NA	!0208101	AMILORIDE 5MG/HYDROCHLORTHIAZIDE 50MG					00000000	Unknown	Diuretic
19721	NA	!0208102	AMILORIDE 5MG/HYDROCHLORTHIAZIDE 50MG					00000000	Unknown	Diuretic
19823	74711000001102	51736020	Alphavase 5 tablets (Ashbourne Pharmaceuticals Ltd)	Prazosin hydrochloride	5mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
19853	823111000001103	83184020	Cardicor 3.75mg tablets (Merck Serono Ltd)	Bisoprolol fumarate	3.75mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
19858	890111000001100	83192020	Cardicor 10mg tablets (Merck Serono Ltd)	Bisoprolol fumarate	10mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
19890	116045001000027104	63252020	Hydrochlorothiazide with amiloride 25mgwith2.5mg Tablet	Amiloride Hydrochloride/Hydrochlorothiazide	25mg+2.5mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
19892	76575001000027104	57809020	Serpasil -esidrex Tablet (Novartis Pharmaceuticals UK Ltd)	Reserpine/Hydrochlorothiazide		Tablet	Oral	02050200	Centrally Acting Antihypertensive Drugs	Diuretic
20012	34555001000027104	52292020	Visken 15mg Tablet (Sovereign Medical Ltd)	Pindolol	15mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
20057	124785001000027104	64530020	Methyclothiazide 5mg Tablet	Methyclothiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
20066	636611000001107	63264020	Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
20082	916111000001108	50243020	Lopresor SR 200mg tablets (Recordati Pharmaceuticals Ltd)	Metoprolol tartrate	200mg	Modified-release tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
20093	36035311000001104	68975020	Metoprolol 200mg modified-release / Hydrochlorothiazide 25mg tablets	Metoprolol tartrate/Hydrochlorothiazide	200mg + 25mg	Modified-release tablet	Oral	00000000	Unknown	B-blocker
20160	172315001000027104	05975007	CHLORTHALIDONE 500 MG TAB					00000000	Unknown	Diuretic
20369	8483411000001101	90119020	Doxazosin 1mg/5ml oral suspension	Doxazosin mesilate	200microgram/1ml	Oral suspension	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
20426	4965001000027108	48616020	Centyl k 2.5mg+7.7mmol Tablet (Edwin Burgess Ltd)	Bendroflumethiazide/Potassium chloride	2.5mg + 573mg	Modified-release tablet	Oral	02020800	Diuretics With Potassium	Diuretic
20431	3932711000001105	78362020	Centyl K modified-release tablets (LEO Pharma)	Bendroflumethiazide/Potassium chloride	2.5mg + 573mg	Modified-release tablet	Oral	00000000	Unknown	Diuretic
20468	724111000001103	72042020	Half Beta-Prograne 80mg modified-release capsules (Tillomed Laboratories Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
20502	181611000001107	72697020	Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd)	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
20538	1795001000027107	48216020	Frumax 40mg Tablet (Ashbourne Pharmaceuticals Ltd)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
20728	234895001000027104	86680020	Atenamin 25mg Tablet (OPD Pharm)	Atenolol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
21025	144325001000027104	67090020	Prestim forte Tablet (LEO Pharma)	Timolol Maleate/Bendroflumethiazide		Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
21133	234905001000027104	86681020	Atenamin 50mg Tablet (OPD Pharm)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
21182	159395001000027104	69280020	Hydrochlorothiazide with timolol and amiloride 25mg with 10mg with 2.5mg Tablet	Timolol Maleate/Amiloride Hydrochloride/Hydrochlorothiazide	25mg + 10mg + 2.5mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
21231	7385711000001106	87820020	Caralpha 20mg/12.5mg tablets (Actavis UK Ltd)	Lisinopril/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Diuretic
21346	125115001000027104	64564020	Hydromet Tablet (MSD Thomas Morson Pharmaceuticals)	Methyldopa Anhydrous/Hydrochlorothiazide		Tablet	Oral	02050200	Centrally Acting Antihypertensive Drugs	Diuretic
21423	9566911000001104	89783020	Cozaar-Comp 100mg/25mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium/Hydrochlorothiazide	100mg + 25mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
21466	137675001000027104	04576007	PHENOXYBENZAMINE HCl 5 MG CAP					00000000	Unknown	Alpha blocker
21803	3215001000027107	48386020	Berkozide 2.5mg Tablet (Berk Pharmaceuticals Ltd)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
21838	121575001000027104	64051020	Propanix 80mg Tablet (Ashbourne Pharmaceuticals Ltd)	Propranolol hydrochloride	80mg	Tablet	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
21839	54405001000027104	54823020	Berkolol 80mg Tablet (Berk Pharmaceuticals Ltd)	Propranolol hydrochloride	80mg	Tablet	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
21849	8805001000027103	49105020	Dryptal 40mg Tablet (Berk Pharmaceuticals Ltd)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
21866	54395001000027112	54822020	Berkolol 40mg Tablet (Berk Pharmaceuticals Ltd)	Propranolol hydrochloride	40mg	Tablet	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
21867	3225001000027103	48387020	Berkozide 5mg Tablet (Berk Pharmaceuticals Ltd)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
21873	629011000001109	63762020	Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd)	Atenolol/Chlortalidone	50mg + 12.5mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
21885	195255001000027104	74896020	Oxyprenix SR 160mg tablets	Oxprenolol Hydrochloride	160mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
21905	405411000001107	86502020	Bipranix 10mg tablets (Ashbourne Pharmaceuticals Ltd)	Bisoprolol fumarate	10mg	Tablet	Oral	02040000/02050000/02100100	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction	B-blocker
21911	155055001000027104	68513020	Spirospare 25mg Tablet (Ashbourne Pharmaceuticals Ltd)	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
21938	331311000001103	86513020	Froop Co 5mg/40mg tablets (Ashbourne Pharmaceuticals Ltd)	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
21966	501211000001103	86500020	Bipranix 5mg tablets (Ashbourne Pharmaceuticals Ltd)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000/02100100	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction	B-blocker
22151	NA	!4529101	METOPROLOL 100MG/CHLORTHALIDONE 12.5MG					00000000	Unknown	B-blocker
22208	227945001000027104	84849020	Half propanix la 80mg Modified-release capsule (Ashbourne Pharmaceuticals Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
22525	154075001000027104	05188007	CHLOROTHIAZIDE 250 MG SYR					00000000	Unknown	Diuretic
22634	135155001000027104	04485007	PROPRANOLOL 10 MG SUS					00000000	Unknown	B-blocker
22658	3700811000001100	75556020	Torem 10mg tablets (Meda Pharmaceuticals Ltd)	Torasemide	10mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
22796	NA	!8504114	CARVEDILOL 3.125 MG					00000000	Unknown	B-blocker
22912	148735001000027104	67620020	Bendroflumethiazide 2.5mg with Propanolol 80mg capsules	Propranolol Hydrochloride/Bendroflumethiazide	2.5mg + 80mg	Capsules	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
22923	116065001000027104	63254020	Hydrochlorothiazide with amiloride 50mg with 5mg Tablet	Amiloride Hydrochloride/Hydrochlorothiazide	50mg + 5mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
23091	3411000001104	68514020	Spirospare 100 tablets (Ashbourne Pharmaceuticals Ltd)	Spironolactone	100mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
23131	148745001000027104	67621020	Bendroflumethiazide 5mg with Propanolol 160mg modified-release capsules	Propranolol Hydrochloride/Bendroflumethiazide	5mg + 160mg	Modified Release Capsules	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
23134	318549008	64899020	Nadolol 40mg / Bendroflumethiazide 5mg tablets	Nadolol/Bendroflumethiazide	40mg + 5mg	Tablet	Oral	00000000	Unknown	B-blocker
23326	175605001000027104	71607020	Betadur cr 160mg Modified-release capsule (Monmouth Pharmaceuticals Ltd)	Propranolol hydrochloride	160mg	Modified-release capsule	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
23427	501911000001107	48847020	Bendroflumethiazide 5mg tablets (A A H Pharmaceuticals Ltd)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
23456	238185001000027104	88006020	Hydrochlorothiazide with valsartan 25mg with 160mg Tablet	Valsartan/Hydrochlorothiazide	25mg + 160mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
23459	153655001000027104	68291020	Hypovase benign prostatic hyperplasia 2mg Tablet (Pfizer Ltd)	Prazosin hydrochloride	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
23483	NA	!3235101	HYDROCHLOROTHIAZIDE 12.5MG/K 8.1MMOL S/R					00000000	Unknown	Diuretic
23492	NA	!1564101	CYCLOPENTHIAZIDE 250MCG/K 8.1MMOL					00000000	Unknown	Diuretic
23505	216725001000027104	81470020	Adizem xl plus 150mg+12.5mg Modified-release capsule (Napp Pharmaceuticals Ltd)	Diltiazem Hydrochloride/Hydrochlorothiazide	150mg+12.5mg	Modified-release Capsule	Oral	02020100/02060200	Thiazides And Related Diuretics/Calcium-channel Blockers	Diuretic
23587	138495001000027104	66314020	Sloprolol 160mg Capsule (C P Pharmaceuticals Ltd)	Propranolol hydrochloride	160mg	Modified-release capsule	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
23598	NA	!6704106	SOTALOL HYDROCHLORIDE S/R					00000000	Unknown	B-blocker
23604	NA	!6000601	PROPRANOLOL S/R					00000000	Unknown	B-blocker
24008	181425001000027104	72539020	Vasetic Tablet (Shire Pharmaceuticals Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
24083	853911000001104	62681020	Bisoprolol 5mg tablets (Teva UK Ltd)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
24094	592911000001104	90893020	Trasicor 40mg tablets (Amdipharm Plc)	Oxprenolol hydrochloride	40mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
24189	197885001000027104	75589020	Neo-bendromax 2.5mg Tablet (Ashbourne Pharmaceuticals Ltd)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
24190	197895001000027104	75590020	Neo-bendromax 5mg Tablet (Ashbourne Pharmaceuticals Ltd)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
24191	874711000001101	68813020	Antipressan 50mg tablets (Teva UK Ltd)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
24195	734011000001102	68814020	Antipressan 100mg tablets (Teva UK Ltd)	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
24218	54445001000027104	54826020	Berkolol 160mg Tablet (Berk Pharmaceuticals Ltd)	Propranolol hydrochloride	160mg	Tablet	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
24268	239025001000027104	88422020	Hydrochlorothiazide with valsartan 12.5mg with 80mg Tablet	Valsartan/Hydrochlorothiazide	12.5mg + 80mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
24280	212825001000027104	80150020	Totaretic 100mg+25mg Tablet (C P Pharmaceuticals Ltd)	Atenolol/Chlortalidone	100mg + 25mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
24484	238175001000027104	87996020	Hydrochlorothiazide with valsartan 12.5mg with 160mg Tablet	Valsartan/Hydrochlorothiazide	12.5mg + 160mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
24520	145355001000027104	04879007	HYDROCHLOROTHIAZIDE /METOPROLOL TARTRATE 25 MG TAB					00000000	Unknown	B-blocker
24632	241785001000027104	89781020	Hydrochlorothiazide with losartan 25mg with 100mg Tablet	Losartan Potassium/Hydrochlorothiazide	25mg + 100mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
24677	NA	!0394102	ATENOLOL					00000000	Unknown	B-blocker
24832	39675001000027104	52999020	Lasipressin Tablet (Hoechst UK Ltd)	Penbutolol/Furosemide		Tablet	Oral	02020200/02040000	Loop Diuretics/Beta-adrenoceptor Blocking Drugs	Diuretic
25004	137685001000027104	04577007	PHENOXYBENZAMINE HCl 2.5 MG CAP					00000000	Unknown	Alpha blocker
25037	NA	!0394103	ATENOLOL					00000000	Unknown	B-blocker
25047	153615001000027104	68287020	Hypovase benign prostatic hyperplasia 500microgram Tablet (Pfizer Ltd)	Prazosin hydrochloride	500microgram	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
25086	NA	!6724104	SPIRONOLACTONE					00000000	Unknown	Spironolactone
25334	119611000001105	49716020	Furosemide 500mg tablets (A A H Pharmaceuticals Ltd)	Furosemide	500mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
25359	2899211000001100	79243020	Rapranol SR 160mg capsules (Ranbaxy (UK) Ltd)	Propranolol hydrochloride	160mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
25363	98411000001109	88272020	Prestim tablets (Meda Pharmaceuticals Ltd)	Timolol maleate/Bendroflumethiazide	10mg + 2.5mg	Tablet	Oral	02040100	Beta-adrenoceptor Blocking Drugs With Diuretic	B-blocker
25367	2899011000001105	84837020	Rapranol SR 80mg capsules (Ranbaxy (UK) Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
25382	7668911000001105	88008020	Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd)	Valsartan/Hydrochlorothiazide	160mg + 25mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
25462	103335001000027104	61503020	Clopamide 5mg with Pindolol 10mg tablets	Pindolol/Clopamide	5mg + 10mg	Tablets	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
25487	904511000001107	80419020	Cascor 2mg tablets (Ranbaxy (UK) Ltd)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040000	Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders	Alpha blocker
25494	75095001000027104	57612020	Diatensec 50mg Tablet (Pharmacia Ltd)	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
25500	152595001000027104	68145020	Hypertane 50 Tablet (Schwarz Pharma Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
25505	196775001000027104	75350020	Spiro-co 50mg+50mg Tablet (IVAX Pharmaceuticals UK Ltd)	Spironolactone/Hydroflumethiazide	50mg + 50mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
25551	179311000001107	80421020	Cascor 4mg tablets (Ranbaxy (UK) Ltd)	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040000	Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders	Alpha blocker
25644	75595001000027104	57667020	Apsolox 80mg Tablet (Approved Prescription Services Ltd)	Oxprenolol hydrochloride	80mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
25717	147711000001102	59808020	Furosemide 40mg tablets (Mylan)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
25730	159355001000027104	69274020	Timolol maleate with amiloride and hydrochlorothiazide Tablet	Timolol Maleate/Amiloride Hydrochloride/Hydrochlorothiazide		Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
25764	NA	!5661101	PINDOLOL 10MG/CLOPAMIDE 5MG					00000000	Unknown	B-blocker
25818	164975001000027104	05678007	PROPRANOLOL 30 MG SUS					00000000	Unknown	B-blocker
25965	213911000001104	55921020	Co-amilofruse 2.5mg/20mg tablets (Wockhardt UK Ltd)	Amiloride hydrochloride/Furosemide	2.5mg + 20mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
26105	165015001000027104	05680007	PROPRANOLOL paed 4 MG TAB					00000000	Unknown	B-blocker
